Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
9-May-24,EQ,"4,580.00","4,708.00","4,541.50","4,600.10","4,552.20","4,568.05","4,618.18","4,708.00","3,160.00","9,80,283","4,52,71,21,300.80","1,17,403"
10-May-24,EQ,"4,590.00","4,689.05","4,556.40","4,568.05","4,670.00","4,657.85","4,627.61","4,708.00","3,160.00","4,71,148","2,18,02,89,607.15","54,618"
13-May-24,EQ,"4,679.00","4,733.80","4,528.30","4,657.85","4,667.35","4,657.45","4,652.33","4,733.80","3,160.00","17,38,770","8,08,93,35,401.65","1,41,022"
14-May-24,EQ,"4,667.40","4,742.95","4,651.10","4,657.45","4,730.65","4,730.55","4,694.96","4,742.95","3,160.00","8,70,035","4,08,47,76,229.80","67,820"
15-May-24,EQ,"4,730.55","4,730.55","4,598.10","4,730.55","4,648.00","4,649.35","4,652.35","4,742.95","3,160.00","10,82,300","5,03,52,36,398.05","76,145"
16-May-24,EQ,"4,650.00","4,697.95","4,543.10","4,649.35","4,663.05","4,681.75","4,624.29","4,742.95","3,160.00","8,45,652","3,91,05,43,633.80","1,24,928"
17-May-24,EQ,"4,660.00","4,700.00","4,622.00","4,681.75","4,680.95","4,693.90","4,675.84","4,742.95","3,160.00","2,87,570","1,34,46,30,864.90","34,231"
18-May-24,EQ,"4,717.90","4,717.90","4,667.00","4,693.90","4,685.00","4,684.40","4,685.69","4,742.95","3,160.00","23,597","11,05,68,329.15","2,843"
21-May-24,EQ,"4,650.00","4,728.85","4,650.00","4,684.40","4,671.20","4,672.95","4,684.55","4,742.95","3,160.00","5,00,742","2,34,57,49,941.55","80,617"
22-May-24,EQ,"4,673.00","4,707.65","4,665.50","4,672.95","4,692.00","4,695.45","4,686.81","4,742.95","3,160.00","2,01,187","94,29,25,859.50","22,934"
23-May-24,EQ,"4,696.65","4,867.85","4,682.55","4,695.45","4,855.00","4,852.85","4,799.10","4,867.85","3,160.00","9,22,926","4,42,92,12,097.90","95,277"
24-May-24,EQ,"4,822.50","4,908.00","4,807.40","4,852.85","4,880.15","4,880.95","4,860.44","4,908.00","3,160.00","5,45,727","2,65,24,71,405.50","63,194"
27-May-24,EQ,"4,861.05","4,907.00","4,770.00","4,880.95","4,796.65","4,793.30","4,816.06","4,908.00","3,160.00","6,55,641","3,15,76,07,238.70","65,890"
28-May-24,EQ,"4,793.30","4,825.50","4,760.00","4,793.30","4,765.00","4,770.95","4,787.47","4,908.00","3,160.00","3,33,511","1,59,66,74,972.45","68,693"
29-May-24,EQ,"4,746.00","4,808.85","4,724.25","4,770.95","4,757.25","4,745.40","4,764.25","4,908.00","3,160.00","5,48,865","2,61,49,32,420.95","32,255"
30-May-24,EQ,"4,709.75","4,770.00","4,704.70","4,745.40","4,760.00","4,742.95","4,739.40","4,908.00","3,160.00","4,31,385","2,04,45,08,020.95","55,514"
31-May-24,EQ,"4,742.20","4,790.00","4,668.25","4,742.95","4,742.05","4,733.45","4,726.58","4,908.00","3,160.00","11,37,018","5,37,42,08,703.85","68,528"
3-Jun-24,EQ,"4,800.00","4,800.00","4,640.00","4,733.45","4,670.00","4,670.85","4,684.41","4,908.00","3,160.00","10,70,710","5,01,56,48,988.65","1,14,519"
4-Jun-24,EQ,"4,679.90","4,706.85","4,253.85","4,670.85","4,548.95","4,495.40","4,509.96","4,908.00","3,160.00","9,20,927","4,15,33,44,077.05","1,02,452"
5-Jun-24,EQ,"4,539.10","4,647.45","4,495.00","4,495.40","4,560.00","4,579.00","4,581.62","4,908.00","3,160.00","4,68,061","2,14,44,77,222.25","66,641"
6-Jun-24,EQ,"4,579.00","4,727.00","4,538.30","4,579.00","4,711.00","4,719.75","4,664.98","4,908.00","3,160.00","7,48,915","3,49,36,74,883.15","97,194"
7-Jun-24,EQ,"4,700.00","4,769.00","4,670.10","4,719.75","4,759.00","4,762.00","4,730.48","4,908.00","3,160.00","4,19,417","1,98,40,45,501.80","43,858"
10-Jun-24,EQ,"4,769.60","4,800.00","4,757.00","4,762.00","4,779.80","4,782.75","4,781.39","4,908.00","3,160.00","3,01,649","1,44,23,01,104.20","28,628"
11-Jun-24,EQ,"4,810.00","4,811.95","4,744.05","4,782.75","4,757.10","4,758.65","4,772.30","4,908.00","3,160.00","7,33,966","3,50,27,04,778.40","58,529"
12-Jun-24,EQ,"4,765.00","4,873.45","4,745.00","4,758.65","4,845.00","4,850.65","4,814.42","4,908.00","3,160.00","5,23,152","2,51,86,74,271.20","48,938"
13-Jun-24,EQ,"4,886.95","4,889.60","4,768.00","4,850.65","4,799.05","4,801.50","4,800.52","4,908.00","3,160.00","8,40,780","4,03,61,77,270.25","63,123"
14-Jun-24,EQ,"4,817.50","4,945.00","4,801.50","4,801.50","4,929.00","4,935.10","4,883.22","4,945.00","3,160.00","5,49,131","2,68,15,30,194.20","43,855"
